run_id,range_start,range_end,exit_time,date_from,date_to,status,estimated_margin,overall_profit,avg_day_profit,max_profit,max_loss,win_pct_days,loss_pct_days,avg_monthly_profit,avg_profit_win_days,avg_loss_loss_days,max_drawdown,return_to_mdd,max_winning_streak,max_losing_streak,expectancy,error
1,09:20,09:45,14:30,2026-08-04,2026-09-03,completed,1625.0,3972.0,248.0,1980.0,-882.0,44.0,56.0,3843.0,1055.0,-379.0,,,2.0,3.0,,
2,09:20,09:45,14:45,2026-08-04,2026-09-03,completed,1625.0,3001.0,187.0,2111.0,-1026.0,50.0,50.0,2904.0,893.0,-518.0,,,2.0,3.0,,
3,09:20,09:45,15:00,2026-08-04,2026-09-03,completed,1625.0,-16.0,-1.0,1985.0,-1190.0,44.0,56.0,-15.0,774.0,-604.0,,,2.0,5.0,,
4,09:20,09:45,15:10,2026-08-04,2026-09-03,completed,1625.0,-223.0,-13.0,1964.0,-1255.0,38.0,63.0,-215.0,909.0,-567.0,,,2.0,7.0,,
5,09:20,09:45,15:15,2026-08-04,2026-09-03,completed,1625.0,-989.0,-61.0,1880.0,-1244.0,44.0,56.0,-957.0,704.0,-657.0,,,2.0,5.0,,
6,09:20,10:00,14:30,2026-08-04,2026-09-03,completed,1625.0,2949.0,184.0,1980.0,-978.0,44.0,56.0,2853.0,986.0,-439.0,,,2.0,3.0,,
7,09:20,10:00,14:45,2026-08-04,2026-09-03,completed,1625.0,1978.0,123.0,2111.0,-1353.0,50.0,50.0,1914.0,831.0,-583.0,,,2.0,3.0,,
8,09:20,10:00,15:00,2026-08-04,2026-09-03,completed,1625.0,-1038.0,-64.0,1985.0,-1517.0,44.0,56.0,-1004.0,730.0,-683.0,,,2.0,5.0,,
9,09:20,10:00,15:10,2026-08-04,2026-09-03,completed,1625.0,-1247.0,-77.0,1964.0,-1582.0,38.0,63.0,-1206.0,857.0,-639.0,,,2.0,7.0,,
10,09:20,10:00,15:15,2026-08-04,2026-09-03,completed,1625.0,-2014.0,-125.0,1880.0,-1571.0,44.0,56.0,-1949.0,649.0,-728.0,,,2.0,5.0,,
11,09:30,10:00,14:30,2026-08-04,2026-09-03,completed,1625.0,2421.0,142.0,1980.0,-978.0,47.0,53.0,2342.0,887.0,-519.0,,,2.0,3.0,,
12,09:30,10:00,14:45,2026-08-04,2026-09-03,completed,1625.0,1504.0,88.0,2111.0,-1353.0,53.0,47.0,1455.0,758.0,-665.0,,,3.0,3.0,,
13,09:30,10:00,15:00,2026-08-04,2026-09-03,completed,1625.0,-1408.0,-82.0,1985.0,-1517.0,41.0,59.0,-1362.0,758.0,-671.0,,,2.0,5.0,,
14,09:30,10:00,15:10,2026-08-04,2026-09-03,completed,1625.0,-1649.0,-97.0,1964.0,-1582.0,35.0,65.0,-1595.0,881.0,-630.0,,,2.0,7.0,,
15,09:30,10:00,15:15,2026-08-04,2026-09-03,completed,1625.0,-2586.0,-152.0,1880.0,-1571.0,41.0,59.0,-2502.0,669.0,-727.0,,,2.0,5.0,,
16,09:30,10:30,14:30,2026-08-04,2026-09-03,completed,1625.0,1048.0,65.0,1980.0,-1233.0,44.0,56.0,1014.0,813.0,-516.0,,,2.0,3.0,,
