run_id,range_start,range_end,exit_time,date_from,date_to,status,estimated_margin,overall_profit,avg_day_profit,max_profit,max_loss,win_pct_days,loss_pct_days,avg_monthly_profit,avg_profit_win_days,avg_loss_loss_days,max_drawdown,return_to_mdd,max_winning_streak,max_losing_streak,expectancy,error
1,09:20,09:45,14:30,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
2,09:20,09:45,14:45,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
3,09:20,09:45,15:00,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
4,09:20,09:45,15:10,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
5,09:20,09:45,15:15,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
6,09:20,10:00,14:30,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
7,09:20,10:00,14:45,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
8,09:20,10:00,15:00,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
9,09:20,10:00,15:10,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
10,09:20,10:00,15:15,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
11,09:30,10:00,14:30,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
12,09:30,10:00,14:45,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
13,09:30,10:00,15:00,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
14,09:30,10:00,15:10,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
15,09:30,10:00,15:15,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
16,09:30,10:30,14:30,2026-08-04,2026-09-03,dry-run-ok,,,,,,,,,,,,,,,,
